Date,Open,High,Low,Close,Adj Close,Volume
2018-12-21,246.740005,249.710007,239.979996,240.699997,236.226837,255345600
2018-12-24,239.039993,240.839996,234.270004,234.339996,229.985046,147311600
2018-12-26,235.970001,246.179993,233.759995,246.179993,241.605011,218485400
2018-12-27,242.570007,248.289993,238.960007,248.070007,243.459900,186267300
2018-12-28,249.580002,251.399994,246.449997,247.750000,243.145813,153100200
2018-12-31,249.559998,250.190002,247.470001,249.919998,245.275513,144299400
2019-01-02,245.979996,251.210007,245.949997,250.179993,245.530655,126925200
2019-01-03,248.229996,248.570007,243.669998,244.210007,239.671631,144140700
2019-01-04,247.589996,253.110001,247.169998,252.389999,247.699615,142628800
2019-01-07,252.690002,255.949997,251.690002,254.380005,249.652634,103139100
2019-01-08,256.820007,257.309998,254.000000,256.769989,251.998199,102512600
2019-01-09,257.559998,258.910004,256.190002,257.970001,253.175903,95006600
2019-01-10,256.260010,259.160004,255.500000,258.880005,254.069016,96823900
2019-01-11,257.679993,259.010010,257.029999,258.980011,254.167145,73858100
2019-01-14,256.859985,258.299988,256.410004,257.399994,252.616516,70908200
2019-01-15,257.820007,260.700012,257.809998,260.350006,255.511658,85208300
2019-01-16,260.829987,261.970001,260.600006,260.980011,256.129944,77636700
2019-01-17,260.010010,263.920013,259.959991,262.959991,258.073151,96118400
2019-01-18,264.980011,266.980011,263.000000,266.459991,261.508118,127900300
2019-01-22,264.820007,265.059998,261.059998,262.859985,257.975006,115531200
2019-01-23,264.010010,264.790009,260.660004,263.410004,258.514801,86030300
2019-01-24,263.209991,264.200012,262.079987,263.549988,258.652191,59204100
2019-01-25,265.609985,266.700012,263.660004,265.779999,260.840759,96883400
2019-01-28,263.390015,263.829987,261.790009,263.760010,258.858337,85613700
2019-01-29,263.920013,264.549988,262.480011,263.410004,258.514801,66136300
2019-01-30,265.100006,268.519989,264.250000,267.579987,262.607300,92473700
2019-01-31,267.510010,270.470001,267.269989,269.929993,264.913605,104012100
2019-02-01,270.149994,271.200012,269.179993,270.059998,265.041229,85782500
2019-02-04,270.109985,272.029999,269.359985,271.959991,266.905884,60744800
2019-02-05,272.440002,273.440002,271.880005,273.100006,268.024750,79552800
2019-02-06,272.790009,273.339996,271.920013,272.739990,267.671417,58347800
2019-02-07,270.940002,271.549988,268.290009,270.140015,265.119751,95482000
2019-02-08,268.750000,270.579987,267.829987,270.470001,265.443604,75788900
2019-02-11,271.200012,271.489990,270.029999,270.619995,265.590790,68021400
2019-02-12,272.420013,274.519989,272.339996,274.100006,269.006165,72270200
2019-02-13,275.029999,275.929993,274.559998,274.989990,269.879578,65277200
2019-02-14,273.779999,275.640015,272.869995,274.380005,269.280975,83234400
2019-02-15,276.359985,277.410004,276.130005,277.369995,272.215393,97088700
2019-02-19,276.480011,278.579987,276.470001,277.850006,272.686432,59120800
2019-02-20,277.809998,278.920013,277.250000,278.410004,273.236023,76610800
2019-02-21,277.700012,278.100006,276.350006,277.420013,272.264465,64214700
2019-02-22,278.109985,279.359985,277.399994,279.140015,273.952515,78114600
2019-02-25,280.730011,281.309998,279.429993,279.519989,274.325409,69030700
2019-02-26,279.130005,280.299988,278.899994,279.320007,274.129150,56844100
2019-02-27,278.519989,279.589996,277.480011,279.200012,274.011383,56921600
2019-02-28,278.959991,279.450012,278.320007,278.679993,273.501007,69268300
2019-03-01,280.440002,280.880005,278.820007,280.420013,275.208740,78880500
2019-03-04,281.600006,281.869995,276.839996,279.399994,274.207642,106494600
2019-03-05,279.540009,279.760010,278.410004,279.019989,273.834717,59114600
2019-03-06,279.149994,279.160004,276.970001,277.329987,272.176117,75039800
2019-03-07,276.829987,276.989990,274.070007,275.010010,269.899231,94885100
2019-03-08,272.940002,274.649994,272.420013,274.459991,269.359436,85795800
2019-03-11,275.260010,278.619995,275.230011,278.440002,273.265503,65098900
2019-03-12,279.059998,280.070007,278.850006,279.489990,274.295990,79667500
2019-03-13,280.480011,282.380005,280.299988,281.339996,276.111603,80639200
2019-03-14,281.369995,281.839996,280.670013,281.160004,275.934967,67518400
2019-03-15,280.540009,282.209991,280.329987,281.309998,277.298218,81309000
2019-03-18,281.549988,282.660004,281.299988,282.329987,278.303650,62199800
2019-03-19,283.510010,284.359985,281.410004,282.399994,278.372681,90268100
2019-03-20,282.160004,283.500000,280.320007,281.549988,277.534790,84609200
2019-03-21,280.640015,285.179993,280.589996,284.730011,280.669464,79550400
2019-03-22,283.220001,283.799988,279.179993,279.250000,275.267578,122659300
2019-03-25,278.869995,280.190002,277.640015,279.040009,275.060577,85575200
2019-03-26,280.989990,282.179993,279.559998,281.119995,277.110931,68125900
2019-03-27,281.109985,281.760010,277.929993,279.649994,275.661896,72224700
2019-03-28,280.350006,281.209991,279.070007,280.709991,276.706787,56238500
2019-03-29,282.390015,282.839996,281.140015,282.480011,278.451538,82186800
2019-04-01,284.700012,286.160004,284.399994,285.829987,281.753723,77617900
2019-04-02,286.040009,286.230011,285.089996,285.970001,281.891754,40070400
2019-04-03,287.320007,287.760010,285.750000,286.420013,282.335327,68243200
2019-04-04,286.779999,287.459991,286.010010,287.179993,283.084503,48997500
2019-04-05,287.920013,288.630005,287.600006,288.570007,284.454712,58621700
2019-04-08,288.100006,288.910004,287.369995,288.790009,284.671539,53566300
2019-04-09,287.720001,288.079987,286.700012,287.309998,283.212646,66142300
2019-04-10,287.769989,288.390015,287.309998,288.290009,284.178711,52601500
2019-04-11,288.829987,288.839996,287.579987,288.209991,284.099823,55093100
2019-04-12,290.000000,290.470001,288.260010,290.160004,286.022034,69727800
2019-04-15,290.239990,290.350006,289.079987,289.970001,285.834747,49596700
2019-04-16,290.950012,291.010010,289.500000,290.160004,286.022034,52153200
2019-04-17,291.399994,291.429993,288.989990,289.450012,285.322144,58268300
2019-04-18,290.100006,290.320007,288.660004,290.019989,285.884003,68708500
2019-04-22,289.170013,290.440002,289.070007,290.269989,286.130432,40160100
2019-04-23,290.679993,293.140015,290.420013,292.880005,288.703217,52246600
2019-04-24,292.790009,293.160004,292.070007,292.230011,288.062500,50392900
2019-04-25,292.119995,292.779999,290.730011,292.049988,287.885010,57770900
2019-04-26,292.100006,293.489990,291.239990,293.410004,289.225677,50916400
2019-04-29,293.510010,294.450012,293.410004,293.869995,289.679077,57197700
2019-04-30,293.489990,294.339996,291.920013,294.019989,289.826965,81111700
2019-05-01,294.720001,294.950012,291.799988,291.809998,287.648499,71671900
2019-05-02,291.679993,292.700012,289.519989,291.179993,287.027466,65030200
2019-05-03,292.820007,294.339996,291.299988,294.029999,289.836823,56543700
2019-05-06,289.250000,293.309998,288.899994,292.820007,288.644073,107198100
2019-05-07,290.149994,290.809998,285.809998,287.929993,283.823822,144729900
2019-05-08,287.529999,289.429993,286.869995,287.529999,283.429504,91568300
2019-05-09,285.230011,287.329987,283.299988,286.660004,282.571899,103471100
2019-05-10,285.619995,288.940002,282.299988,288.100006,283.991394,112429300
2019-05-13,282.420013,283.489990,279.929993,280.859985,276.854614,127290500
2019-05-14,281.989990,285.100006,281.850006,283.399994,279.358398,77003200
2019-05-15,281.589996,285.769989,281.359985,285.059998,280.994720,73956400
2019-05-16,285.839996,289.209991,285.760010,287.700012,283.597107,76749600
2019-05-17,285.140015,288.600006,285.119995,285.839996,281.763641,100353000
2019-05-20,284.059998,285.959991,283.119995,283.950012,279.900574,62877600
2019-05-21,285.829987,286.929993,285.549988,286.510010,282.424072,46847100
